integer string string double
97 String97 TheEndOfTheLine97 9.84886
98 String98 TheEndOfTheLine98 9.89949
99 String99 TheEndOfTheLine99 9.94987
100 String100 TheEndOfTheLine100 10
101 String101 TheEndOfTheLine101 10.0499
102 String102 TheEndOfTheLine102 10.0995
103 String103 TheEndOfTheLine103 10.1489
104 String104 TheEndOfTheLine104 10.198
105 String105 TheEndOfTheLine105 10.247
106 String106 TheEndOfTheLine106 10.2956
107 String107 TheEndOfTheLine107 10.3441
108 String108 TheEndOfTheLine108 10.3923
109 String109 TheEndOfTheLine109 10.4403
110 String110 TheEndOfTheLine110 10.4881
111 String111 TheEndOfTheLine111 10.5357
112 String112 TheEndOfTheLine112 10.583
113 String113 TheEndOfTheLine113 10.6301
114 String114 TheEndOfTheLine114 10.6771
115 String115 TheEndOfTheLine115 10.7238
116 String116 TheEndOfTheLine116 10.7703
117 String117 TheEndOfTheLine117 10.8167
118 String118 TheEndOfTheLine118 10.8628
119 String119 TheEndOfTheLine119 10.9087
120 String120 TheEndOfTheLine120 10.9545
121 String121 TheEndOfTheLine121 11
122 String122 TheEndOfTheLine122 11.0454
123 String123 TheEndOfTheLine123 11.0905
124 String124 TheEndOfTheLine124 11.1355
125 String125 TheEndOfTheLine125 11.1803
126 String126 TheEndOfTheLine126 11.225
127 String127 TheEndOfTheLine127 11.2694
128 String128 TheEndOfTheLine128 11.3137
129 String129 TheEndOfTheLine129 11.3578
130 String130 TheEndOfTheLine130 11.4018
131 String131 TheEndOfTheLine131 11.4455
132 String132 TheEndOfTheLine132 11.4891
133 String133 TheEndOfTheLine133 11.5326
134 String134 TheEndOfTheLine134 11.5758
135 String135 TheEndOfTheLine135 11.619
136 String136 TheEndOfTheLine136 11.6619
137 String137 TheEndOfTheLine137 11.7047
138 String138 TheEndOfTheLine138 11.7473
139 String139 TheEndOfTheLine139 11.7898
140 String140 TheEndOfTheLine140 11.8322
141 String141 TheEndOfTheLine141 11.8743
142 String142 TheEndOfTheLine142 11.9164
143 String143 TheEndOfTheLine143 11.9583
144 String144 TheEndOfTheLine144 12
145 String145 TheEndOfTheLine145 12.0416
146 String146 TheEndOfTheLine146 12.083
147 String147 TheEndOfTheLine147 12.1244
148 String148 TheEndOfTheLine148 12.1655
149 String149 TheEndOfTheLine149 12.2066
150 String150 TheEndOfTheLine150 12.2474
